name,description,train_paraphrase,test_paraphrase
Mismagius,"Ghostly and purple with a wide, hat-like head and jagged cloak-like body. Red eyes and orbs accent its upper form, with a sharp 'W'-shaped mouth.","The creature is purple and haunted, with a broad, cap-like head and slender, jagged body. Red eyes and orbs complete its top, along with the sharp 'W'-shaped mouth.","This object has a wide, hat-like head and vexing cloak, with purple ghosts and red eyes and orbs in the upper part of its form. It also has an angular, sharp 'W'-shaped mouth."
Honchkrow,Dark blue bird with a crest like a fedora and red eyes. It has a broad chest with a white ruff and red feathers on the inner wings.,"Red eyes, a dark blue bird with an orangish-colored crest similar to fedora, has broad chest and red feathers on the inner wings.",A dark blue bird with a crest resembling that of eudophilia and red eyes. It has winglets covered in white feathers and wings inside with red feather on the inner side.
Glameow,"Slender gray feline with crescent head, curled tail, and yellow eyes. White ear tips, muzzle, and feet with pink pads add contrast.","A gray cat with a short, curled tail and yellow eyes. White ear tips, muzzle, and pink pads on the feet add coloration to the appearance.","The slender gray cat has a yellow-eyed, curled tail and crescent-shaped head. The muzzle is white on the ear tips and pink pads are present on feet."
Chingling,Round and yellow like a jingle bell with stubby limbs and a red orb inside its mouth. A striped rope ring with tassels tops its body.,"A jingle bell with round, yellow-shaped parts, and a red orb inside its mouth. The shape of the bird is represented by striped rope ring with tassels on its body.","This object is circular and yellow, resembling the back of an ancient jingle bell. It has long legs, red eyes, and small branches, as well as large red orb inside its mouth. On its body, there is a striped rope ring with tassels."
Stunky,"Small and skunk-like with dark purple fur, cream whiskers, and a cream underbelly. Its raised tail ends in spiky fur and a back stripe.","This creature is small and skunk-like, with dark purple fur, cream-colored whiskers, and an underbelly of cream. It has a back stripe and raised tail ends in spiky fur.","It is small and skunk-like, with dark purple fur, cream-colored whiskers, and an underbelly of cream. It has a back stripe and raised tail ends in spiky fur."
Bronzor,"Flat, round, blue-green disc with six blue orbs on its rim. It has yellow eyes, a central nose-like sphere, and a leafy crest on its back.","A flat, round, blue-green disc with six blue orbs on its rim. The object is yellow in the eyes, has a central nose-like sphere, and carries traces of leaves.","It is a flat, round greenish ball with six blue orbs on the rim of its central portion. It has yellow eyes, resembles an airborne nose-like object in the center, and bears traces of leaves on its back."
Bronzong,"Large bell-shaped figure with blue-green color, a yoke-like top, and wide arms. It has red eyes, a square mouth, and rectangular markings.","This is a large, blue-green bell figure with wide arms and yoke. It has red eyes, square mouth, and rectangular markings.","The bell-shaped shape is a large, blue-green creature with wide arms, yoke-like top, and red eyes. It also has rounded lips, rectangular markings."
Bonsly,"Brown and round with a tree-club shape. It has yellow facial spots, tiny legs, and a hole on its base like a flowerpot drain.","A circular object with a brown appearance and shaped like 'a tree'. It has yellow discoloration on its face, small legs, and an opening on the ground that looks like it may have been dropped into ponds or fountains.","The creature is a circular and brown entity with rounded forms. It has yellow discoloration on its face, small legs, and resembles mud in ponds like cactus seeds."
Chatot,"Colorful bird with a musical note-shaped head and metronome tail. Blue wings, yellow chest, green belly, and pink beak give it a vibrant look.","A vivid bird with a musical note-shaped head and metronome-like tail. Its blue wings, yellow chest, green belly, and pink beak make it an interesting sight.","Brightly colored, the bird has a musically named head and metronome-shaped tail. Its blue wings, yellow chest, green belly, and pink beak contribute to its attractive appearance."
Spiritomb,Ghostly face in a purple swirl with green orbs. Its jagged mouth and crescent eyes emerge from a stone with a carved frown.,A spectral figure with an ornate purple beak and green sprites. Its sharp mouth and crescent-shaped eyes emerge from a stone with etched scarlet lips.,"The creature has a haunted appearance with green orbs and purple ghostly features, while its jagged mouth and crescent-shaped eyes emerge from carved stone faces."
Gible,"Small and bulky with a gray-blue body, large red mouth, and sharp teeth. Jet-like horns and a dorsal fin give it a stocky, fierce look.","It is small and bulky, with a gray-blue body, large red mouth, and sharp teeth. The dorsal fin has jet-like horns, which give it 'the stockiness' of the piece.","This animal has a gray-blue body, large red mouth, sharp teeth, and is small and bulky. It has jet-like horns and its dorsal fin giving it an aggressive and stocky appearance."
Gabite,"Medium-sized and blue with light underbelly and red chest patch. Jet-engine horns, sharp fins, and clawed limbs give it a dynamic form.","Light underbelly, red chest patch, medium blue; dynamic jet-engine horns, sharp fins and clawed limbs.","With a blue hue and blond underside, along with hints of red chest patch and light underbelly. Its dynamic form is enhanced by jet-engine horns, sharp fins (jumping fin), and clawed limbs."
Munchlax,"Round and teal with a cream chest and face base. Big eyes, pointed ears, and a wide mouth with visible teeth create a playful appearance.","With a cream-colored chest and face base, this teal body has playful proportions. The big eyes, pointed ears, and wide mouth with prominent teeth make up the appearance.","The round and teal hues are paired with a cream chest and face base. The big eyes, pointed ears, and wide mouth with prominent teeth make for witty play."
